Stock Symbol,Company Name,Stock Exchange,Cpn Rate/Ann Amt,LiqPref/CallPrice,Call Date/Matur Date,Moodys/S&P Dated,Distribution Dates,15% Tax Rate,Parent Company,IPO,Total IPO Units,$ Per,Previous Ticker Symbol,Change Symbol Date,Market Value
CMO-E ,Capstead Mortgage Corp.,NYSE,7.50%$1.88  ,$25.00 $25.00 ,5/13/2018 None  ,NR NF 12/15/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,CMO,5/8/2013,6.00 Million Shares,$25.00/share.,CPSMP,5/16/2013,$150.0 Million
RLJ-A ,RLJ Lodging Trust,NYSE,7.80%$1.95  ,$25.00 $25.00 ,n.a.None  ,NF NF 4/04/2021,0.2806 n.a.,"1/31, 4/30, 7/31 & 10/31Cl",No,RLJ,-,-,-,$324.0 Million
PEB-C ,Pebblebrook Hotel Trust,NYSE,6.50%$1.63  ,$25.00 $25.00 ,3/18/2018 None  ,NF NF 5/07/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,PEB,3/11/2013,3.60 Million Shares,$25.00/share.,-,-,$90.0 Million
EPR-E ,EPR Properties,NYSE,9.00%$2.25  ,$25.00 n.a.,4/20/2013 None  ,NR B+12/16/2020,0.4512 $55.41 ,"1/15, 4/15, 7/15 & 10/15Cl",No,EPR,3/28/2008,3.00 Million Shares,$25.00/share.,ETYTP,4/04/2008,$75.0 Million
PEB-D ,Pebblebrook Hotel Trust,NYSE,6.38%$1.59  ,$25.00 $25.00 ,6/09/2021 None  ,NF NF 5/07/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,PEB,6/2/2016,5.00 Million Shares,$25.00/share.,PBBKP,6/13/2016,$125.0 Million
PEB-E ,Pebblebrook Hotel Trust,NYSE,6.38%$1.59  ,$25.00 $25.00 ,3/04/2018 None  ,NF NF 5/07/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,PEB,2/27/2013,4.00 Million Shares,$25.00/share.,LHO-I,9/13/2018,$100.0 Million
SLG-I ,SL Green Realty Corp.,NYSE,6.50%$1.63  ,$25.00 $25.00 ,8/10/2017 None  ,Ba1BB4/04/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,SLG,8/9/2012,8.00 Million Shares,$25.00/share.,SLGPP,8/13/2012,$200.0 Million
USB-M ,U.S. Bancorp,NYSE,FixFloat $1.63  ,$25.00 $25.00 ,1/15/22? None  ,A3BBB11/20/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,USB,1/19/2012,44.00 Million Shares,$25.00/share.,USBPP,1/26/2012,$1.3 Billion
PEB-F ,Pebblebrook Hotel Trust,NYSE,6.30%$1.58  ,$25.00 $25.00 ,5/25/2021 None  ,NF NF 5/07/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,PEB,5/18/2016,6.00 Million Shares,$25.00/share.,LHO-J,9/13/2018,$150.0 Million
MS-E  ,Morgan Stanley,NYSE,FixFloat $1.78  ,$25.00 $25.00 ,10/15/2023 None  ,Ba1BB+10/02/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,MS,9/24/2013,30.00 Million Shares,$25.00/share.,MSDWL,10/02/2013,$936.0 Million
IIPR-A,Innovative Industrial Properties,NYSE,9.00%$2.25  ,$25.00 $25.00 ,10/19/2022 None  ,NF NF 12/02/2020,1/15 -  4/15 - 7/15 & 10/15C,No,IIPR,10/6/2017,"600,000 Shares",$25.00/share.,-,-,$15.0 Million
MS-F  ,Morgan Stanley,NYSE,FixFloat $1.72  ,$25.00 $25.00 ,1/15/2024 None  ,Ba1BB+10/02/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,MS,12/5/2013,34.00 Million Shares,$25.00/share.,MSTNL,12/13/2013,$894.0 Million
BHR-B ,Braemar Hotels & Resorts,NYSE,5.50%$1.375 ,$25.00 $25.00 ,6/11/2020 None  ,NF NR 11/20/2020,1.3228 $18.90 ," 1/15, 4/15, 7/15 & 10/15C",No,BHR,4/27/2016,2.60 Million Shares,$25/share.,-,-,$96.4 Million
EPR-G ,EPR Properties,NYSE,5.75%$1.44  ,$25.00 $25.00 ,11/30/2022 None  ,Ba1B+12/16/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,EPR,11/20/2017,6.00 Million Shares,$25.00/share.,EPRRP,12/08/2017,$150.0 Million
MS-I  ,Morgan Stanley,NYSE,FixFloat $1.59  ,$25.00 $25.00 ,10/15/2024 None  ,Ba1BB+10/02/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,MS,9/11/2014,40.00 Million Shares,$25.00/share.,MSQVP,9/23/2014,$1000.0 Billion
EPR-C ,EPR Properties,NYSE,5.75%$1.44  ,$25.00 n.a.,1/15/2012 None  ,NR B+12/16/2020,0.3504 $71.34 ,"1/15, 4/15, 7/15 & 10/15Cl",No,EPR,12/20/2006,5.40 Million Shares,$25.00/share.,-,-,$135.0 Million
MS-K  ,Morgan Stanley,NYSE,FixFloat $1.46  ,$25.00 $25.00 ,4/15/2027 None  ,Ba1BB+10/02/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,MS,1/24/2017,40.00 Million Shares,$25.00/share.,MSDDP,2/03/2017,$1000.0 Billion
FULTP ,Fulton Financial Corp 5.125% Dep Shares Non-Cumul  Preferred Stock,NGS,5.13%$1.28125 ,$25.00 $25.00 ,1/15/2026 None  ,Baa3NF 10/23/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,FULT,10/22/2020,8.00 Million Shares,$25/share.,FULPP,11/03/2020,$200.0 Million
USB-P ,U.S. Bancorp,NYSE,5.50%$1.38  ,$25.00 $25.00 ,10/15/2023 None  ,A3BBB11/20/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,USB,8/7/2018,23.00 Million Shares,$25.00/share.,USBLL,8/17/2018,$575.0 Million
MS-L  ,Morgan Stanley Dep Shares 4.875% Non-Cumulative Preferred Stock Series L,NYSE,4.88%$1.22  ,$25.00 $25.00 ,1/15/2025 None  ,Ba1BB+10/02/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,MS,11/18/2019,20.00 Million Shares,$25.00/share.,MSLQL,11/27/2019,$500.0 Million
MS-A  ,Morgan Stanley Floating Rate Dep Shares Series A Non-cumul Preferred Stock,NYSE,Variable n.a.,$25.00 $25.00 ,7/15/2011 None  ,Ba1BB+10/02/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,MS,6/28/2006,40.00 Million Shares,$25.00/share.,MSPRJ,7/06/2006,$1.0 Billion
USB-R ,U.S. Bancorp,NYSE,4.00%$1 ,$25.00 $25.00 ,4/15/2026 None  ,A3BBB1/27/2021,1/15 - 4/15 - 7/15 & 10/15Cl,YES,USB,1/26/2021,30.00 Million Shares,$25/share.,USBML ,$750.0 Million
USB-Q ,U.S. Bancorp,NYSE,3.75%$0.9375 ,$25.00 $25.00 ,1/15/2026 None  ,A3BBB11/20/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,USB,10/20/2020,20.00 Million Shares,$25/share.,UBKPL,10/30/2020,$500.0 Million
USB-H ,U.S. Bancorp,NYSE,Variable n.a.,$25.00 $25.00 ,4/15/2011 None  ,A3BBB11/20/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,USB,3/23/2006,40.00 Million Shares,$25.00/share.,UBSPZ,3/30/2006,$1000.0 Billion
TDI   ,Telephone and Data Systems,NYSE,6.63%$1.66  ,$25.00 $25.00 ,3/31/2010 3/31/2045  ,Ba2BB11/04/2020,3/31 - 6/30 - 9/30 & 12/31Cl,No,TDS,3/24/2005,4.40 Million Notes,$25.00/note.,-,-,$110.0 Million
SITC-A,SITE Centers Corp.,NYSE,6.38%$1.59  ,$25.00 $25.00 ,6/05/2022 None  ,Ba1BB3/25/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,SITC,5/30/2017,7.00 Million Shares,$25.00/share.,DDR-A,10/12/2018,$175.0 Million
AXS-E ,AXIS Capital Holdings Ltd,NYSE,5.50%$1.38  ,$25.00 $25.00 ,11/07/2021 None  ,Baa3BBB12/16/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,AXS,10/31/2016,22.00 Million Shares,$25.00/share.,AXHHF,11/22/2016,$550.0 Million
FITBI ,Fifth Third Bancorp,NGS,FixFloat $1.66  ,$25.00 $25.00 ,12/31/2023 None  ,Baa3BB+1/28/2021,3/31 - 6/30 - 9/30 & 12/31Cl,YES,FITB,12/4/2013,18.00 Million Shares,$25.00/share.,FITBL,12/17/2013,$450.0 Million
FHN-A ,First Horizon Corp.,NYSE,6.20%$1.55  ,$25.00 $25.00 ,Called for7/10/2021None  ,Ba2BB-11/11/2020,1/10 - 4/10 - 7/10 & 10/10Cl,YES,-,-,-,-,Previous Ticker Symbol: FHZNL    Changed: 2/04/2013
STL-A ,Sterling Bancorp,NYSE,6.50%$1.63  ,$25.00 $25.00 ,10/15/2022 None  ,NF NF 12/16/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,STL,10/2/2017,5.40 Million Shares,$25.00/share.,-,-,$137.0 Million
BRG-D ,Bluerock Residential Growth REIT,AMEX,7.13%$1.78  ,$25.00 $25.00 ,10/13/2021 None  ,NF NF 9/25/2020,1/5 - 4/5 - 7/5 & 10/5Click ,No,BRG,10/5/2016,2.70 Million Shares,$25.00/share.,BLRKP,10/17/2016,$71.2 Million
GSL-B ,Global Ship Lease,NYSE,8.75%$2.19  ,$25.00 $25.00 ,8/20/2019 None  ,NR NR 1/28/2021,1/1 - 4/1 - 7/1 & 10/1Click ,YES,GSL,8/13/2014,1.40 Million Shares,$25.00/share.,GPSLF,8/25/2014,$35.0 Million
HFRO-A,Highland Income Fund,NYSE,5.38%$1.34375  ,$25.00 $25.00 ,9/30/2024 None  ,A1NF 7/27/2020,3/31 - 6/30 - 9/30 & 12/31Cl,Variable,-,7/30/2019,5.40 Million Shares,$25.00/share.,-,-,HOME PAGE:    http://www.highlandfunds.com/
HLM-  ,Hillman Group Capital Trust,AMEX,11.60%$2.90  ,$25.00 $25.00 ,9/30/2002 9/30/2027  ,NF NF 9/07/2020,Last day of each monthClic,No,-,8/27/1997,4.22 Million Shares,$25.00/share.,SDP-,3/18/2002,HOME PAGE:    https://www.hillmangroup.com/
PUK-  ,Prudential plc,NYSE,6.75%$1.69  ,$25.00 $25.00 ,9/23/2009 None  ,Baa1BBB+10/18/2020,3/23 - 6/23 - 9/23 & 12/23Cl,YES,PUK,8/2/2004,10.00 Million Shares,$25.00/share.,-,-,$250.0 Million
CFG-D ,Citizens Financial Group,NYSE,FixFloat $1.59  ,$25.00 $25.00 ,4/06/2024 None  ,NR BB+8/11/2020,1/6 - 4/6 - 7/6 & 10/6Click ,YES,CFG,1/22/2019,12.00 Million Shares,$25.00/share.,CFGLL,1/30/2019,$300.0 Million
GUT-C ,Gabelli Utility Trust,NYSE,5.38%$1.34  ,$25.00 $25.00 ,5/31/2021 None  ,A1NF 12/02/2020,3/26 - 6/26 - 9/26 & 12/26Cl,Variable,GUT,5/25/2016,2.00 Million Shares,$25.00/share.,GABUP,6/02/2016,$50.0 Million
GDV-G ,Gabelli Dividend & Income Trust,NYSE,5.25%$1.31  ,$25.00 $25.00 ,7/01/2021 None  ,Aa3NF 12/02/2020,3/26 - 6/26 - 9/26 & 12/26Cl,Variable,GDV,6/28/2016,4.00 Million Shares,$25.00/share.,GDVVP,7/05/2016,$100.0 Million
ECF-A ,Ellsworth Growth and Income Fund,AMEX,5.25%$1.31  ,$25.00 $25.00 ,9/18/2022 None  ,NF NF 12/02/2020,3/26 - 6/26 - 9/26 & 12/26Cl,Variable,ECF,9/13/2017,1.20 Million Shares,$25.00/share.,ELLWP,9/20/2017,$30.0 Million
GAB-H ,Gabelli Equity Trust,NYSE,5.00%$1.25  ,$25.00 $25.00 ,9/28/2017 None  ,A1NF 11/20/2020,3/26 - 6/26 - 9/26 & 12/26Cl,Variable,GAB,9/25/2012,4.20 Million Shares,$25.00/share.,GBEEP,10/03/2012,$106.0 Million
GGT-G ,Gabelli Multimedia Trust,NYSE,5.13%$1.28  ,$25.00 $25.00 ,12/20/2024 None  ,A2NR 3/18/2021,3/26 - 6/26 - 9/26 & 12/26Cl,Variable,GGT,12/16/2019,2.00 Million Shares,$25.00/share.,GABGP,12/24/2019,$50.0 Million
GAB-K ,Gabelli Equity Trust,NYSE,5.00%$1.25  ,$25.00 $25.00 ,12/16/2024 None  ,A1NF 3/18/2021,3/26 - 6/26 - 9/26 & 12/26Cl,Variable,-,12/10/2019,4.00 Million Shares,$25.00/share.,-,-,HOME PAGE:    https://www.gabelli.com/
SPE-B ,Special Opportunities Fund,NYSE,3.50%$0.88  ,$25.00 $25.00 ,8/26/2018 8/19/2021  ,NF NF 11/20/2020,1.3158@$19.00 $19.00 ,"3/31, 6/30, 9/30 & 12/31Cl",YES,UBS,7/15/2016,2.22 Million Shares,$25.00/share.,-,-,$56.9 Million
DRH-A ,DiamondRock Hospitality Co 8.25% Series A Cumulative Redeemable Preferred Stock,NYSE,8.25%$2.0625 ,$25.00 $25.00 ,8/31/2025 None  ,NF NF 8/21/2020,3/31 - 6/30 - 9/30 & 12/31Cl,No,DRH,8/20/2020,4.40 Million Shares,$25/share.,DRHPP,9/03/2020,$110.0 Million
GAINL ,Gladstone Investment Corp.,NGS,6.38%$1.59  ,$25.00 $25.00 ,8/31/2020 8/31/2025  ,NF NF 12/02/2020,last day of each monthClic,No,GAIN,8/13/2018,2.60 Million Shares,$25.00/share.,GLDZP,8/23/2018,$65.0 Million
C-J   ,Citigroup,NYSE,FixFloat $1.78  ,$25.00 $25.00 ,9/30/2023 None  ,Ba1BB+1/20/2021,3/30 - 6/30 - 9/30 & 12/30Cl,YES,C,9/12/2013,36.00 Million Shares,$25.00/share.,CIGRL,9/27/2013,$900.0 Million
LANDM ,Gladstone Land Corp 5.00% Series D Cumulative Term Preferred Stock Due 1/31/2026,NGM,5.00%$1.25 ,$25.00 $25.00 ,1/31/2023 1/31/2026  ,NF NF 1/13/2021,5th day of the MonthClick ,No,LAND,1/12/2021,2.10 Million Shares,$25/share.,LANPP,1/25/2021,$52.5 Million
SBNYP ,Signature Bank 5.00% Non-cumulative Perpetual Series A Preferred Stock,NGS,5.00%$1.25 ,$25.00 $25.00 ,12/15/2025 None  ,Ba1NF 12/14/2020,3/30 - 6/30 - 9/30 & 12/30Cl,YES,SBNY,12/10/2020,28.00 Million Shares,$25/share.,SBNYL,12/17/2020,$700.0 Million
CHSCO ,CHS Inc.,NGS,7.88%$1.97  ,$25.00 $25.00 ,9/26/2023 None  ,NF NF 1/20/2021,3/31 - 6/30 - 9/30 & 12/31Cl,YES,CHSCP,9/19/2013,10.00 Million Shares,$25.00/share.,CHSXP,9/27/2013,$250.0 Million
CHSCP ,CHS Inc.,NGS,8.00%$2.00  ,$25.00 $25.00 ,7/18/2023 None  ,NF NF 1/20/2021,3/31 - 6/30 - 9/30 & 12/31Cl,YES,-,1/28/2003,3.00 Million Shares,$25.00/share.,"Cenex Harvest States Coops., 8.00% Cumulative Redeemable Preferred Stock",7/02/2003,Click for current CHSCP price quote from the NASDAQ
CHSCL ,CHS Inc.,NGS,7.50%$1.88  ,$25.00 $25.00 ,1/21/2025 None  ,NF NF 1/20/2021,3/31 - 6/30 - 9/30 & 12/31Cl,YES,CHSCP,1/13/2015,18.00 Million Shares,$25.00/share.,CHNPP,1/22/2015,$450.0 Million
CHSCN ,CHS Inc.,NGS,Variable $1.78  ,$25.00 $25.00 ,3/31/2024 None  ,NF NF 1/20/2021,3/31 - 6/30 - 9/30 & 12/31Cl,YES,CHSCP,3/5/2014,14.61 Million Shares,$25.00/share.,CHSPP,3/12/2014,$365.0 Million
CHSCM ,CHS Inc.,NGS,Variable $1.69  ,$25.00 $25.00 ,9/30/2024 None  ,NF NF 1/20/2021,3/31 - 6/30 - 9/30 & 12/31Cl,YES,CHSCP,9/8/2014,19.00 Million Shares,$25.00/share.,CSHPP,9/15/2014,$475.0 Million
FRC-I ,First Republic Bank,NYSE,5.50%$1.38  ,$25.00 $25.00 ,6/30/2023 None  ,Baa3BBB-9/09/2020,3/30 - 6/30 - 9/30 & 12/30Cl,YES,FRC,6/5/2018,12.00 Million Shares,$25.00/share.,FFPPP,6/13/2018,$300.0 Million
FRC-H ,First Republic Bank,NYSE,5.13%$1.28  ,$25.00 $25.00 ,6/30/2022 None  ,Baa3BBB-9/09/2020,3/30 - 6/30 - 9/30 & 12/30Cl,YES,FRC,5/31/2017,8.00 Million Shares,$25.00/share.,FTPPP,6/09/2017,$200.0 Million
ALP-Q ,Alabama Power Co.,NYSE,5.00%$1.25  ,$25.00 $25.00 ,10/01/2022 None  ,A3BBB+10/18/2020,1/1 - 4/1 - 7/1 & 10/1Click ,YES,SO,9/5/2017,10.00 Million Shares,$25.00/share.,ABBLP,9/12/2017,$250.0 Million
FBIOP ,Fortress Biotech,NCM,9.38%$2.34  ,$25.00 $25.00 ,12/15/2022 None  ,NF NF 12/16/2020,Last day of the monthClick,YES,FBIO,11/6/2017,1.00 Million Shares,$25.00/share.,-,-,$24.3 Million
TDS-U ,Telephone and Data Systems 6.625% Dep Shares Ser UU Cumulative Prfd Stock,NYSE,6.63%$1.65625 ,$25.00 $25.00 ,3/31/2026 None  ,Ba3B2/24/2021,3/31 - 6/30 - 9/30 & 12/31Cl,YES,TDS,2/23/2021,16.00 Million Shares,$25.00/share.,TDSUP,3/08/2021,$400.0 Million
PLYM-A,Plymouth Industrial REIT,AMEX,7.50%$1.88  ,$25.00 $25.00 ,12/31/2022 None  ,NF NF 12/16/2020,3/31 - 6/30 - 9/30 & 12/31Cl,No,PLYM,10/18/2017,1.80 Million Shares,$25.00/share.,PYMHP,10/27/2017,$45.0 Million
MNSBP ,MainStreet Bancshares,NCM,7.50%$1.875 ,$25.00 $25.00 ,9/30/2025 None  ,NF NF 9/21/2020,3/30 - 6/30 - 9/30 & 12/30Cl,YES,MNSB,9/10/2020,1.00 Million Shares,$25.00/share.,-,-,$25.0 Million
ARES-A,Ares Management Corp.,NYSE,7.00%$1.75  ,$25.00 $25.00 ,Called for6/30/2021None  ,NF BBB-11/12/2020,3/31 - 6/30 - 9/30 & 12/31Cl,YES,-,-,-,-,$275.0 Million
PRIF-G,Priority Income Fund,NYSE,6.25%$1.5625 ,$25.00 $25.00 ,3/19/2023 6/30/2026  ,NR NR 3/24/2021,3/31 - 6/30 - 9/30 & 12/31Cl,Variable,-,3/15/2021,1.28 Million Shares,$25/share.,-,-,HOME PAGE:    https://www.priorityincomefund.com/
ARR-C ,ARMOUR Residential REIT,NYSE,7.00%$1.75 ,$25.00 $25.00 ,1/28/2025 None  ,NF NF 7/27/2020,27th of each monthClick fo,No,ARR,1/23/2020,3.00 Million Shares,$25/share.,ARMRP,1/29/2020,$75.0 Million
CBB-B ,Cincinnati Bell Inc.,NYSE,6.75%$3.38  ,$50.00 $50.00 ,4/05/2000 None  ,Caa1CCC-1/28/2021,1.442 $34.674 ,"1/1, 4/1, 7/1 & 10/1Click ",YES,CBB,11/10/1999,3.11 Million Shares,$50.00/share.,BRW-B ,$109.0 Million
ECCY  ,Eagle Point Credit Co.,NYSE,6.75%$1.69  ,$25.00 $25.00 ,9/30/2020 9/30/2027  ,NF NF 12/02/2020,3/31 - 6/30 - 9/30 & 12/31Cl,No,ECC,8/1/2017,1.10 Million Notes,$25.00/note.,-,-,$27.5 Million
ECCX  ,Eagle Point Credit Co.,NYSE,6.69%$1.67  ,$25.00 $25.00 ,4/30/2021 4/30/2028  ,NF NF 12/02/2020,3/31 - 6/30 - 9/30 & 12/31Cl,No,ECC,4/17/2018,2.40 Million Notes,$25.00/note.,-,-,$60.0 Million
TBKCP ,Triumph Bancorp,NGS,7.13%$1.78125 ,$25.00 $25.00 ,6/30/2025 None  ,NF NF 6/17/2020,3/30 - 6/30 - 9/30 & 12/30Cl,YES,TBK,6/17/2020,1.80 Million Shares,$25.00/share.,TMPHL,6/24/2020,$45.0 Million
OXSQL ,Oxford Square Capital Corp.,NGS,6.50%$1.63  ,$25.00 $25.00 ,3/30/2020 3/30/2024  ,NF NF 12/02/2020,3/30 - 6/30 - 9/30 & 12/30Cl,No,OXSQ,4/12/2017,2.58 Million Shares,$25.00/share.,TICCL,3/20/2018,$64.4 Million
AMH-E ,American Homes 4 Rent,NYSE,6.35%$1.59  ,$25.00 $25.00 ,Called for6/30/2021None  ,NR BB12/16/2020,3/31 - 6/30 - 9/30 & 12/31Cl,No,-,-,-,-,$200.0 Million
WALA  ,Western Alliance Bancorporation,NYSE,6.25%$1.56  ,$25.00 $25.00 ,7/01/2021 7/01/2056  ,NR NF 11/20/2020,1/1 - 4/1 - 7/1 & 10/1Click ,No,WAL,6/9/2016,7.00 Million Debentures,$25.00/deb.,-,-,$176.0 Million
BPOPM ,Popular Capital Trust II,NGS,6.13%$1.53  ,$25.00 $25.00 ,12/01/2009 12/01/2034  ,WRB-10/18/2020,1st day of each monthClick,No,BPOP,11/29/2004,5.20 Million Shares,$25.00/share.,-,-,$130.0 Million
SNV-D ,Synovus Financial Corp.,NYSE,FixFloat $1.58  ,$25.00 $25.00 ,6/21/2023 None  ,NR BB-4/04/2021,3/21 - 6/21 - 9/21 & 12/21Cl,YES,SNV,6/12/2018,8.00 Million Shares,$25.00/share.,SYNVP,6/25/2018,$200.0 Million
REXR-A,Rexford Industrial Realty,NYSE,5.88%$1.47  ,$25.00 $25.00 ,8/16/2021 None  ,NF NF 11/20/2020,3/31 - 6/30 - 9/30 & 12/31Cl,No,REXR,8/8/2016,3.60 Million Shares,$25.00/share.,RXFFP,8/17/2016,$90.0 Million
FPI-B ,Farmland Partners,NYSE,6.00%$1.50  ,$25.00 $25.00 ,9/30/2021 None  ,NF NF 4/12/2021,3/31 - 6/30 - 9/30 & 12/31Cl,No,FPI,8/10/2017,5.25 Million Shares,$25.00/share.,FPRRP,8/18/2017,$131.0 Million
AMH-H ,American Homes 4 Rent,NYSE,6.25%$1.56  ,$25.00 $25.00 ,9/19/2023 None  ,Ba1BB12/16/2020,3/31 - 6/30 - 9/30 & 12/31Cl,No,AMH,9/12/2018,4.00 Million Shares,$25.00/share.,AMHRP,9/24/2018,$100.0 Million
NSA-A ,National Storage Affiliates Trust,NYSE,6.00%$1.50  ,$25.00 $25.00 ,10/11/2022 None  ,NF NF 12/02/2020,3/31 - 6/30 - 9/30 & 12/31Cl,No,NSA,10/3/2017,6.00 Million Shares,$25.00/share.,NSAFP,10/13/2017,$150.0 Million
SRC-A ,Spirit Realty Capital,NYSE,6.00%$1.50  ,$25.00 $25.00 ,10/03/2022 None  ,Ba1BB+12/16/2020,3/31 - 6/30 - 9/30 & 12/31Cl,No,SRC,9/26/2017,6.00 Million Shares,$25.00/share.,SPRYP,10/27/2017,$150.0 Million
AMH-F ,American Homes 4 Rent,NYSE,5.88%$1.47  ,$25.00 $25.00 ,4/24/2022 None  ,NR BB12/16/2020,3/31 - 6/30 - 9/30 & 12/31Cl,No,AMH,4/19/2017,6.00 Million Shares,$25.00/share.,AMHTP,4/26/2017,$150.0 Million
AHL-C ,Aspen Insurance Holdings Ltd,NYSE,FixFloat $1.49  ,$25.00 $25.00 ,7/01/2023 None  ,Ba1BB+8/28/2020,1/1 - 4/1 - 7/1 & 10/1Click ,YES,AHL*,4/29/2013,11.00 Million Shares,$25.00/share.,-,-,$275.0 Million
MBINN ,Merchants Bancorp,NCM,6.00%$1.5 ,$25.00 $25.00 ,4/01/2026 None  ,NR NR 3/16/2021,1/1 - 4/1 - 7/1 & 10/1Click ,YES,MBIN,3/16/2021,6.00 Million Shares,$25.00/share.,MRHBP,3/23/2021,$150.0 Million
REXR-B,Rexford Industrial Realty,NYSE,5.88%$1.47  ,$25.00 $25.00 ,11/13/2022 None  ,NF NF 11/20/2020,3/31 - 6/30 - 9/30 & 12/31Cl,No,REXR,11/6/2017,3.00 Million Shares,$25.00/share.,RXXFP,11/16/2017,$75.0 Million
MBINO ,Merchants Bancorp,NCM,FixFloat $1.50  ,$25.00 $25.00 ,10/01/2024 None  ,NF NF 3/16/2021,1/1 - 4/1 - 7/1 & 10/1Click ,YES,IPO,-,MCSBL,8/19/2019,Click for current MBINO price quote from the NASDAQ
AMH-G ,American Homes 4 Rent,NYSE,5.88%$1.47  ,$25.00 $25.00 ,7/17/2022 None  ,NR BB12/16/2020,3/31 - 6/30 - 9/30 & 12/31Cl,No,AMH,7/10/2017,4.60 Million Shares,$25.00/share.,AMMRP,7/19/2017,$115.0 Million
VNO-K ,Vornado Realty Trust,NYSE,5.70%$1.43  ,$25.00 $25.00 ,7/18/2017 None  ,Baa3BB+11/20/2020,1/1 - 4/1 - 7/1 & 10/1Click ,No,VNO,7/11/2012,12.00 Million Shares,$25.00/share.,VNOYP,7/20/2012,$300.0 Million
AHL-E ,Aspen Insurance Holdings Ltd,NYSE,5.63%$1.41  ,$25.00 $25.00 ,10/01/2024 None  ,Ba1BB+8/28/2020,1/1 - 4/1 - 7/1 & 10/1Click ,YES,-,8/6/2019,10.00 Million Shares,$25.00/share.,-,-,HOME PAGE:    https://www.aspen.co/Insurance
AHL-D ,Aspen Insurance Holdings Ltd,NYSE,5.63%$1.41  ,$25.00 $25.00 ,1/01/2027 None  ,Ba1BB+8/28/2020,1/1 - 4/1 - 7/1 & 10/1Click ,YES,AHL*,9/13/2016,9.00 Million Shares,$25.00/share.,ASPIF,9/14/2016,$225.0 Million
VLYPP ,Valley National Bancorp,NGS,FixFloat $1.56  ,$25.00 $25.00 ,6/30/2025 None  ,WRBB12/16/2020,3/30 - 6/30 - 9/30 & 12/30Cl,YES,VLY,6/16/2015,4.60 Million Shares,$25.00/share.,VLY-A,10/08/2018,$115.0 Million
VLYPO ,Valley National Bancorp,NGS,FixFloat $1.38  ,$25.00 $25.00 ,6/30/2022 None  ,WRBB12/16/2020,3/30 - 6/30 - 9/30 & 12/30Cl,YES,VLY,7/27/2017,4.00 Million Shares,$25.00/share.,VLY-B,10/08/2018,$100.0 Million
BOKFL ,BOK Financial Corp.,NGS,5.38%$1.34  ,$25.00 $25.00 ,6/30/2021 6/30/2056  ,A3BBB11/20/2020,3/30 - 6/30 - 9/30 & 12/30Cl,No,BOKF,6/20/2016,6.00 Million Notes,$25.00/note.,-,-,$151.0 Million
VNO-L ,Vornado Realty Trust,NYSE,5.40%$1.35  ,$25.00 $25.00 ,1/25/2018 None  ,Baa3BB+11/20/2020,1/1 - 4/1 - 7/1 &10/1Click f,No,VNO,1/16/2013,12.00 Million Shares,$25.00/share.,VRNDP,2/01/2013,$300.0 Million
WRB-E ,W.R. Berkley Corp.,NYSE,5.70%$1.43  ,$25.00 $25.00 ,3/30/2023 3/30/2058  ,Baa2BBB-2/19/2021,3/30 - 6/30 - 9/30 & 12/30Cl,No,WRB,3/20/2018,7.00 Million Debentures,$25.00/deb.,-,-,$175.0 Million
PSA-C ,Public Storage,NYSE,5.13%$1.28  ,$25.00 $25.00 ,Called for6/30/2021None  ,A3BBB+8/11/2020,3/31 - 6/30 - 9/30 & 12/31Cl,No,-,-,-,-,$200.0 Million
PSB-W ,PS Business Parks,NYSE,5.20%$1.30  ,$25.00 $25.00 ,10/20/2021 None  ,Baa2BBB11/20/2020,3/31 - 6/30 - 9/30 & 12/31Cl,No,PSB,10/11/2016,6.60 Million Shares,$25.00/share.,PSBNL,10/21/2016,$165.0 Million
FTV-A ,Fortive Corp.,NYSE,5.00%$50.00 ,"$1,000.00 n.a.",None 7/01/2021  ,NR NR 11/05/2020,1/1 - 4/1 - 7/1 & 10/1Click ,YES,FTV,6/28/2018,1.20 Million Shares,$1000.00/share.,FTVVP,7/05/2018,$1.2 Billion
